_RAJ2000 (deg),_DEJ2000 (deg),HIP,Comp,Gr,RAJ2000 (deg),DEJ2000 (deg),Dist (pc),X (pc),Y (pc),Z (pc),SpType,Lower Temp (K),Upper Temp (K),[Fe/H] [Sun],Simbad,Hpmag (mag),Lum (Lsun),Cst
346.830723,-32.268273,114176,B,,346.831366,-32.268199,6.69,2.6,0.6,-6.2,,#N/A Invalid Input,#N/A Invalid Input,,Simbad,12.415,,Scl
91.9322378,-25.744864,29052,,,91.9327344,-25.744368,11.33,-6.5,-8.4,-4,,#N/A Invalid Input,#N/A Invalid Input,,Simbad,11.929,,Lep
101.287155,-16.716116,32349,ABC,,101.288541,-16.713143,2.64,-1.8,-1.9,-0.4,A0mA1Va,9500,10000,0.36,Simbad,-1.088,25.84,CMa
113.649428,31.8882763,36850,AB,,113.650019,31.8886365,15.8,-14.5,-1.9,6,A1.5IV+,9100,9650,,Simbad,1.581,53.4,Gem
279.234735,38.783689,91262,A,,279.234108,38.7829933,7.68,2.8,6.7,2.5,A1V,9250,9750,-0.56,Simbad,0.087,58.1,Lyr
200.149239,-36.71229,65109,,,200.150273,-36.712081,18.02,10.3,-12.5,7.8,A2 V,9000,9500,,Simbad,2.772,22.8,Cen
245.89099,-39.229485,80300,,,245.89075,-39.22949,13.14,12.4,-4.1,1.7,A3,8750,9250,,Simbad,10.994,0.02,Sco
177.26491,14.5720581,57632,A,,177.26616,14.5723368,11,-1.2,-3.4,10.4,A3V,8750,9250,0.07,Simbad,2.16,14.47,Leo
344.412693,-29.622237,113368,,,344.411773,-29.621837,7.7,3.1,1.1,-7,A4V,8500,9000,0.2,Simbad,1.181,16.93,PsA
86.8211987,-51.066511,27321,,1,86.8211807,-51.066713,19.44,-3.4,-16.4,-9.9,A5 V,8250,8750,,Simbad,3.908,9.08,Pic
28.6600458,20.8080315,8903,A,,28.6597891,20.8082998,17.98,-10.9,8.5,-11.5,A5. V SB,8250,8750,0.07,Simbad,2.704,23.73,Ari
168.527089,20.5237181,54872,A,,168.526717,20.5240338,17.91,-5.1,-4.9,16.5,A5IV(n),8250,8750,-0.18,Simbad,2.593,25.61,Leo
263.733627,12.5600348,86032,A,,263.733353,12.5605758,14.32,10.7,7.8,5.5,A5IVnn,8250,8750,-0.16,Simbad,2.126,25.23,Oph
326.760184,-16.127287,107556,A,1,326.759522,-16.126566,11.87,6.5,5,-8.5,A5MF2 (IV),8250,8750,,Simbad,2.941,8.49,Cap
134.80189,48.0418261,44127,ABC,,134.803494,48.0423495,14.51,-10.9,1.6,9.5,A7V(n),7750,8250,-0.03,Simbad,3.188,9.87,UMa
297.695827,8.8683212,97649,A,,297.694508,8.86738473,5.13,3.4,3.8,-0.8,A7Vn,7750,8250,-0.24,Simbad,0.827,10.84,Aql
220.626748,-64.975137,71908,A,1,220.627855,-64.97457,16.57,11.5,-11.8,-1.3,A7VpSrCrEu Kn,7750,8250,,Simbad,3.246,12.15,Cir
319.644885,62.5855745,105199,A,,319.64409,62.5854552,15.04,-2.8,14.6,2.4,A8Vn,7500,8000,,Simbad,2.514,19.6,Cep
47.6292283,-68.600938,14754,*,,47.6289831,-68.600688,10.15,2,-7,-7,DA,5000,30000,,Simbad,11.445,0,Hyi
252.106821,59.0562981,82257,,,252.106179,59.0570186,10.62,0.2,8.3,6.6,DA,5000,30000,,Simbad,12.386,0,Dra
308.591184,25.0638187,101516,,,308.592268,25.0651888,15.52,5.9,14.1,-2.4,DA,5000,30000,,Simbad,11.551,0.01,Vul
174.271269,29.7995326,56662,,,174.271683,29.7995527,15.75,-4.2,-1.5,15.1,DA,5000,30000,,Simbad,12.525,0,UMa
302.73686,-30.218516,99438,,,302.737828,-30.217902,16.26,13.9,2.9,-8,DA,5000,30000,,Simbad,12.313,0,Sgr
202.556829,-8.574856,65877,A,,202.559554,-8.5737031,17.92,8.1,-7.1,14.3,DA4,5000,30000,,Simbad,12.39,0,Vir
101.908297,37.5158471,32560,,,101.908994,37.5181326,15.68,-15.1,0.5,4.2,DAn,5000,30000,,Simbad,12.092,0.01,Aur
28.0123302,47.0018469,8709,,,28.012326,47.00155,15.45,-10.3,10.8,-3.9,DAs,5000,30000,,Simbad,12.552,0,And
290.145514,-7.6666864,95071,A,,290.145663,-7.6662915,10.93,9.4,5.3,-1.9,DB vwk,5000,30000,,Simbad,12.38,0,Aql
176.428835,-64.841521,57367,,,176.413598,-64.840674,4.61,2,-4.1,-0.2,DC/DQ,5000,30000,,Simbad,11.585,0,Mus
12.2912573,5.38861437,3829,,,12.2882376,5.39519921,4.26,-1.2,1.9,-3.6,F0,7000,7500,,Simbad,12.559,0,Psc
190.415181,-1.4493728,61941,AB,,190.416676,-1.4495219,11.68,2.6,-5,10.3,F0V+...,7000,7500,-0.15,Simbad,2.821,9.12,Vir
291.37459,3.11477878,95501,A,,291.373969,3.11457923,15.37,11.8,9.7,-1.6,F1IV-V(n),6900,7350,-0.04,Simbad,3.441,8.86,Aql
238.785675,-63.430727,77952,A,1,238.7867,-63.42975,12.38,9.6,-7.6,-1.6,F1V,6900,7350,-0.29,Simbad,2.908,9.37,TrA
182.103402,-24.728875,59199,,,182.103136,-24.72878,14.94,4.2,-11.1,9,F1V,6900,7350,-0.08,Simbad,4.099,4.57,Crv
112.27799,31.7845337,36366,AB,,112.27754,31.7840795,18.05,-16.7,-2.1,6.6,F1V,6900,7350,-0.25,Simbad,4.247,5.86,Gem
